image,total_boxes,train_boxes,other_boxes
VAIPE_P_1021_0,2,1,1
VAIPE_P_1021_1,2,1,1
VAIPE_P_1021_2,2,1,1
VAIPE_P_1021_3,2,1,1
VAIPE_P_1021_4,2,1,1
VAIPE_P_1022_0,5,5,0
VAIPE_P_1022_1,5,5,0
VAIPE_P_1022_2,5,5,0
VAIPE_P_1022_3,5,5,0
VAIPE_P_1023_0,5,1,4
VAIPE_P_1023_1,5,1,4
VAIPE_P_1023_2,5,1,4
VAIPE_P_1023_3,5,1,4
VAIPE_P_1024_0,4,2,2
VAIPE_P_1024_1,4,2,2
VAIPE_P_1024_2,4,2,2
VAIPE_P_1024_3,4,2,2
VAIPE_P_1025_0,4,2,2
VAIPE_P_1025_1,4,2,2
VAIPE_P_1025_2,4,2,2
VAIPE_P_1025_3,4,2,2
VAIPE_P_1026_0,4,4,0
VAIPE_P_1026_1,4,4,0
VAIPE_P_1026_2,4,4,0
VAIPE_P_1026_3,4,4,0
VAIPE_P_1027_0,2,2,0
VAIPE_P_1027_1,2,2,0
VAIPE_P_1028_0,2,2,0
VAIPE_P_1028_1,2,2,0
VAIPE_P_1029_0,5,2,3
VAIPE_P_1029_1,5,2,3
VAIPE_P_1029_10,5,2,3
VAIPE_P_1029_11,5,2,3
VAIPE_P_1029_12,5,2,3
VAIPE_P_1029_13,5,2,3
VAIPE_P_1029_14,5,2,3
VAIPE_P_1029_15,5,2,3
VAIPE_P_1029_16,5,2,3
VAIPE_P_1029_2,5,2,3
VAIPE_P_1029_3,5,2,3
VAIPE_P_1029_4,5,2,3
VAIPE_P_1029_5,5,2,3
VAIPE_P_1029_6,5,2,3
VAIPE_P_1029_7,5,2,3
VAIPE_P_1029_8,5,2,3
VAIPE_P_1029_9,5,2,3
VAIPE_P_102_0,2,2,0
VAIPE_P_102_1,2,2,0
VAIPE_P_102_10,2,2,0
VAIPE_P_102_11,2,2,0
VAIPE_P_102_12,2,2,0
VAIPE_P_102_13,3,3,0
VAIPE_P_102_15,2,2,0
VAIPE_P_102_16,3,3,0
VAIPE_P_102_18,2,2,0
VAIPE_P_102_19,2,2,0
VAIPE_P_102_2,2,2,0
VAIPE_P_102_3,2,2,0
VAIPE_P_102_4,3,3,0
VAIPE_P_102_6,2,2,0
VAIPE_P_102_8,2,2,0
VAIPE_P_102_9,3,3,0
VAIPE_P_1030_0,5,1,4
VAIPE_P_1031_0,5,1,4
VAIPE_P_1032_0,2,2,0
VAIPE_P_1032_1,2,2,0
VAIPE_P_1034_0,4,2,2
VAIPE_P_1034_1,4,2,2
VAIPE_P_1034_10,3,1,2
VAIPE_P_1034_11,4,2,2
VAIPE_P_1034_2,3,1,2
VAIPE_P_1034_3,4,2,2
VAIPE_P_1034_4,3,1,2
VAIPE_P_1034_5,3,1,2
VAIPE_P_1034_6,3,1,2
VAIPE_P_1034_7,4,2,2
VAIPE_P_1034_8,3,1,2
VAIPE_P_1034_9,4,2,2
VAIPE_P_1035_0,3,3,0
VAIPE_P_1035_1,4,4,0
VAIPE_P_1035_2,4,4,0
VAIPE_P_1035_3,4,4,0
VAIPE_P_1035_4,3,3,0
VAIPE_P_1035_5,4,4,0
VAIPE_P_1035_6,3,3,0
VAIPE_P_1035_7,3,3,0
VAIPE_P_1035_8,3,3,0
VAIPE_P_1036_0,3,3,0
VAIPE_P_1036_2,3,3,0
VAIPE_P_1036_3,3,3,0
VAIPE_P_1036_4,3,3,0
VAIPE_P_1036_7,3,3,0
VAIPE_P_1036_9,3,3,0
VAIPE_P_1037_0,2,2,0
VAIPE_P_1037_1,2,2,0
VAIPE_P_1038_0,3,1,2
VAIPE_P_1038_1,3,1,2
VAIPE_P_1038_10,3,1,2
VAIPE_P_1038_11,3,1,2
VAIPE_P_1038_2,3,1,2
VAIPE_P_1038_3,3,1,2
VAIPE_P_1038_4,3,1,2
VAIPE_P_1038_5,3,1,2
VAIPE_P_1038_6,3,1,2
VAIPE_P_1038_7,3,1,2
VAIPE_P_1038_8,3,1,2
VAIPE_P_1038_9,3,1,2
VAIPE_P_1039_0,2,2,0
VAIPE_P_1039_2,2,2,0
VAIPE_P_103_1,2,2,0
VAIPE_P_103_12,3,3,0
VAIPE_P_103_15,2,2,0
VAIPE_P_103_16,2,2,0
VAIPE_P_103_17,2,2,0
VAIPE_P_103_19,2,2,0
VAIPE_P_103_2,2,2,0
VAIPE_P_103_3,2,2,0
VAIPE_P_103_4,2,2,0
VAIPE_P_103_5,2,2,0
VAIPE_P_103_7,2,2,0
VAIPE_P_103_8,2,2,0
VAIPE_P_103_9,2,2,0
VAIPE_P_1040_0,2,2,0
VAIPE_P_1040_1,2,2,0
VAIPE_P_1040_2,2,2,0
VAIPE_P_1040_3,2,2,0
VAIPE_P_1041_0,2,2,0
VAIPE_P_1041_1,2,2,0
VAIPE_P_1041_2,2,2,0
VAIPE_P_1041_3,2,2,0
VAIPE_P_1042_0,5,3,2
VAIPE_P_1042_1,5,3,2
VAIPE_P_1043_0,5,3,2
VAIPE_P_1043_1,5,3,2
VAIPE_P_1044_0,8,0,8
VAIPE_P_1045_0,8,0,8
VAIPE_P_1045_1,8,0,8
VAIPE_P_1045_2,8,0,8
VAIPE_P_1046_0,2,2,0
VAIPE_P_1047_0,2,2,0
VAIPE_P_1048_0,2,2,0
VAIPE_P_1048_1,2,2,0
VAIPE_P_1049_0,2,2,0
VAIPE_P_1049_1,2,2,0
VAIPE_P_104_0,4,1,3
VAIPE_P_104_1,6,1,5
VAIPE_P_104_10,4,1,3
VAIPE_P_104_11,4,1,3
VAIPE_P_104_12,4,1,3
VAIPE_P_104_13,6,1,5
VAIPE_P_104_14,4,1,3
VAIPE_P_104_15,4,1,3
VAIPE_P_104_16,4,1,3
VAIPE_P_104_17,6,1,5
VAIPE_P_104_18,6,1,5
VAIPE_P_104_19,4,1,3
VAIPE_P_104_2,6,1,5
VAIPE_P_104_20,6,1,5
VAIPE_P_104_21,6,1,5
VAIPE_P_104_22,4,1,3
VAIPE_P_104_23,6,1,5
VAIPE_P_104_3,6,1,5
VAIPE_P_104_4,4,1,3
VAIPE_P_104_5,6,1,5
VAIPE_P_104_6,6,1,5
VAIPE_P_104_7,4,1,3
VAIPE_P_104_8,4,1,3
VAIPE_P_104_9,6,1,5
VAIPE_P_1050_0,3,0,3
VAIPE_P_1050_1,3,0,3
VAIPE_P_1050_2,3,0,3
VAIPE_P_1050_3,3,0,3
VAIPE_P_1050_4,3,0,3
VAIPE_P_1050_5,3,0,3
VAIPE_P_1051_0,6,4,2
VAIPE_P_1051_1,6,4,2
VAIPE_P_1051_2,6,4,2
VAIPE_P_1051_3,6,4,2
VAIPE_P_1052_0,2,0,2
VAIPE_P_1052_1,2,0,2
VAIPE_P_1052_2,3,1,2
VAIPE_P_1052_3,2,0,2
VAIPE_P_1052_4,3,1,2
VAIPE_P_1052_5,3,1,2
VAIPE_P_1055_1,2,2,0
VAIPE_P_1055_2,2,2,0
VAIPE_P_1056_0,5,3,2
VAIPE_P_1056_1,5,3,2
VAIPE_P_1057_0,5,3,2
VAIPE_P_1057_1,5,3,2
VAIPE_P_1058_0,2,2,0
VAIPE_P_1058_1,2,2,0
VAIPE_P_1058_2,2,2,0
VAIPE_P_1058_3,2,2,0
VAIPE_P_1058_4,2,2,0
VAIPE_P_1058_5,2,2,0
VAIPE_P_1059_0,6,4,2
VAIPE_P_1059_1,6,4,2
VAIPE_P_105_0,4,2,2
VAIPE_P_105_1,4,2,2
VAIPE_P_105_2,4,2,2
VAIPE_P_105_3,4,2,2
VAIPE_P_105_4,4,2,2
VAIPE_P_105_5,4,2,2
VAIPE_P_105_6,4,2,2
VAIPE_P_1060_0,3,0,3
VAIPE_P_1060_1,3,0,3
VAIPE_P_1060_2,3,0,3
VAIPE_P_1061_0,4,4,0
VAIPE_P_1061_1,4,4,0
VAIPE_P_1061_2,4,4,0
VAIPE_P_1061_3,4,4,0
VAIPE_P_1061_4,4,4,0
VAIPE_P_1061_5,4,4,0
VAIPE_P_1061_6,4,4,0
VAIPE_P_1061_7,4,4,0
VAIPE_P_1062_0,4,4,0
VAIPE_P_1062_1,4,4,0
VAIPE_P_1063_0,4,4,0
VAIPE_P_1063_1,4,4,0
VAIPE_P_1063_2,4,4,0
VAIPE_P_1063_3,4,4,0
VAIPE_P_1063_4,4,4,0
VAIPE_P_1063_5,4,4,0
VAIPE_P_1063_6,4,4,0
VAIPE_P_1063_7,4,4,0
VAIPE_P_1064_0,5,3,2
VAIPE_P_1064_1,5,3,2
VAIPE_P_1064_2,5,3,2
VAIPE_P_1064_3,5,3,2
VAIPE_P_1065_0,6,6,0
VAIPE_P_1065_1,6,6,0
VAIPE_P_1066_0,2,1,1
VAIPE_P_1066_1,2,1,1
VAIPE_P_1066_2,2,1,1
VAIPE_P_1066_3,2,1,1
VAIPE_P_1066_4,2,1,1
VAIPE_P_1066_5,2,1,1
VAIPE_P_1067_0,6,2,4
VAIPE_P_1068_0,6,2,4
VAIPE_P_1069_11,2,2,0
VAIPE_P_1069_3,2,2,0
VAIPE_P_1069_4,2,2,0
VAIPE_P_1069_7,2,2,0
VAIPE_P_1069_8,2,2,0
VAIPE_P_1069_9,2,2,0
VAIPE_P_106_0,3,3,0
VAIPE_P_106_1,3,3,0
VAIPE_P_106_10,3,3,0
VAIPE_P_106_11,3,3,0
VAIPE_P_106_12,3,3,0
VAIPE_P_106_13,3,3,0
VAIPE_P_106_14,3,3,0
VAIPE_P_106_15,3,3,0
VAIPE_P_106_16,3,3,0
VAIPE_P_106_17,3,3,0
VAIPE_P_106_18,3,3,0
VAIPE_P_106_19,3,3,0
VAIPE_P_106_2,3,3,0
VAIPE_P_106_3,3,3,0
VAIPE_P_106_4,3,3,0
VAIPE_P_106_5,3,3,0
VAIPE_P_106_6,3,3,0
VAIPE_P_106_7,3,3,0
VAIPE_P_106_8,3,3,0
VAIPE_P_106_9,3,3,0
VAIPE_P_1070_0,2,0,2
VAIPE_P_1071_0,2,2,0
VAIPE_P_1071_1,2,2,0
VAIPE_P_1071_2,2,2,0
VAIPE_P_1071_3,2,2,0
VAIPE_P_1071_4,2,2,0
VAIPE_P_1071_5,2,2,0
VAIPE_P_1071_6,2,2,0
VAIPE_P_1071_7,2,2,0
VAIPE_P_1072_0,5,1,4
VAIPE_P_1072_1,7,1,6
VAIPE_P_1072_2,5,1,4
VAIPE_P_1072_3,7,1,6
VAIPE_P_1073_0,7,1,6
VAIPE_P_1073_1,5,1,4
VAIPE_P_1073_2,7,1,6
VAIPE_P_1073_3,5,1,4
VAIPE_P_1073_4,7,1,6
VAIPE_P_107_0,2,1,1
VAIPE_P_107_1,2,1,1
VAIPE_P_107_10,2,1,1
VAIPE_P_107_11,2,1,1
VAIPE_P_107_2,2,1,1
VAIPE_P_107_3,2,1,1
VAIPE_P_107_4,2,1,1
VAIPE_P_107_5,2,1,1
VAIPE_P_107_6,2,1,1
VAIPE_P_107_7,2,1,1
VAIPE_P_107_8,2,1,1
VAIPE_P_107_9,2,1,1
VAIPE_P_1080_0,6,4,2
VAIPE_P_1080_1,6,4,2
VAIPE_P_1081_0,3,0,3
VAIPE_P_1081_1,3,0,3
VAIPE_P_1081_2,3,0,3
VAIPE_P_1081_3,3,0,3
VAIPE_P_1082_0,8,4,4
VAIPE_P_1083_0,8,4,4
VAIPE_P_1083_1,4,4,0
VAIPE_P_1084_0,4,3,1
VAIPE_P_1084_1,4,3,1
VAIPE_P_1084_2,4,3,1
VAIPE_P_1084_3,4,3,1
VAIPE_P_1085_0,6,4,2
VAIPE_P_1085_1,6,4,2
VAIPE_P_1086_0,6,2,4
VAIPE_P_1086_1,8,2,6
VAIPE_P_1087_0,3,3,0
VAIPE_P_1087_1,3,3,0
VAIPE_P_1088_0,4,4,0
VAIPE_P_1088_1,4,4,0
VAIPE_P_1088_2,5,5,0
VAIPE_P_1088_3,5,5,0
VAIPE_P_1089_0,6,4,2
VAIPE_P_1089_1,6,4,2
VAIPE_P_108_0,2,1,1
VAIPE_P_108_1,2,1,1
VAIPE_P_108_10,2,1,1
VAIPE_P_108_11,2,1,1
VAIPE_P_108_2,2,1,1
VAIPE_P_108_3,2,1,1
VAIPE_P_108_4,2,1,1
VAIPE_P_108_5,2,1,1
VAIPE_P_108_6,2,1,1
VAIPE_P_108_7,2,1,1
VAIPE_P_108_8,2,1,1
VAIPE_P_108_9,2,1,1
VAIPE_P_1090_0,4,2,2
VAIPE_P_1090_1,4,2,2
VAIPE_P_1091_0,3,2,1
VAIPE_P_1091_1,3,2,1
VAIPE_P_1091_2,3,2,1
VAIPE_P_1091_3,3,2,1
VAIPE_P_1091_4,3,2,1
VAIPE_P_1091_5,3,2,1
VAIPE_P_1091_6,3,2,1
VAIPE_P_1091_7,3,2,1
VAIPE_P_1092_0,8,6,2
VAIPE_P_1092_1,8,6,2
VAIPE_P_1092_2,8,6,2
VAIPE_P_1092_3,8,6,2
VAIPE_P_1092_4,8,6,2
VAIPE_P_1092_5,5,4,1
VAIPE_P_1093_0,8,6,2
VAIPE_P_1093_1,8,6,2
VAIPE_P_1093_2,8,6,2
VAIPE_P_1093_3,8,6,2
VAIPE_P_1093_4,8,6,2
VAIPE_P_1093_5,8,6,2
VAIPE_P_1093_6,8,6,2
VAIPE_P_1093_7,8,6,2
VAIPE_P_1094_0,6,6,0
VAIPE_P_1094_1,6,6,0
VAIPE_P_1095_0,3,2,1
VAIPE_P_1095_1,3,2,1
VAIPE_P_1095_2,3,2,1
VAIPE_P_1095_3,3,2,1
VAIPE_P_1096_0,5,3,2
VAIPE_P_1096_1,5,3,2
VAIPE_P_1096_2,5,3,2
VAIPE_P_1096_3,5,3,2
VAIPE_P_1096_4,5,3,2
VAIPE_P_1096_5,5,3,2
VAIPE_P_1096_6,5,3,2
VAIPE_P_1096_7,5,3,2
VAIPE_P_1097_0,4,2,2
VAIPE_P_1097_1,4,2,2
VAIPE_P_1097_2,3,1,2
VAIPE_P_1097_3,3,1,2
VAIPE_P_1098_0,4,4,0
VAIPE_P_1098_1,4,4,0
VAIPE_P_1098_2,4,4,0
VAIPE_P_1098_3,4,4,0
VAIPE_P_1098_4,4,4,0
VAIPE_P_1098_5,4,4,0
VAIPE_P_1099_0,3,3,0
VAIPE_P_1099_1,3,3,0
VAIPE_P_1099_2,3,3,0
VAIPE_P_1099_3,3,3,0
VAIPE_P_1099_4,3,3,0
VAIPE_P_1099_5,3,3,0
VAIPE_P_1099_6,3,3,0
VAIPE_P_1099_7,3,3,0
VAIPE_P_109_0,3,3,0
VAIPE_P_109_1,3,3,0
VAIPE_P_109_2,4,4,0
VAIPE_P_109_3,3,3,0
VAIPE_P_1100_1,2,2,0
VAIPE_P_1100_2,2,2,0
VAIPE_P_1100_4,2,2,0
VAIPE_P_1100_6,2,2,0
VAIPE_P_1101_0,5,5,0
VAIPE_P_1101_1,5,5,0
VAIPE_P_1101_2,5,5,0
VAIPE_P_1101_3,5,5,0
VAIPE_P_1102_0,5,3,2
VAIPE_P_1102_1,5,3,2
VAIPE_P_1102_2,5,3,2
VAIPE_P_1102_3,5,3,2
VAIPE_P_1102_4,5,3,2
VAIPE_P_1103_0,7,5,2
VAIPE_P_1103_1,8,6,2
VAIPE_P_1103_2,7,5,2
VAIPE_P_1103_3,7,5,2
VAIPE_P_1104_0,7,5,2
VAIPE_P_1104_1,7,5,2
VAIPE_P_1104_2,2,2,0
VAIPE_P_1104_3,2,2,0
VAIPE_P_1105_0,5,5,0
VAIPE_P_1105_1,5,5,0
VAIPE_P_1105_2,5,5,0
VAIPE_P_1105_3,5,5,0
VAIPE_P_1106_0,5,0,5
VAIPE_P_1106_1,5,0,5
VAIPE_P_1107_0,3,3,0
VAIPE_P_1107_1,3,3,0
VAIPE_P_1107_2,3,3,0
VAIPE_P_1107_3,3,3,0
VAIPE_P_1108_0,5,3,2
VAIPE_P_1108_1,4,3,1
VAIPE_P_1108_2,5,3,2
VAIPE_P_1108_3,5,3,2
VAIPE_P_1109_0,6,6,0
VAIPE_P_1109_1,6,6,0
VAIPE_P_110_0,3,3,0
VAIPE_P_1110_0,3,3,0
VAIPE_P_1110_1,3,3,0
VAIPE_P_1110_2,3,3,0
VAIPE_P_1110_3,3,3,0
VAIPE_P_1114_0,6,6,0
VAIPE_P_1114_1,6,6,0
VAIPE_P_1115_0,2,0,2
VAIPE_P_1115_1,2,0,2
VAIPE_P_1115_2,2,0,2
VAIPE_P_1115_3,2,0,2
VAIPE_P_1115_4,2,0,2
VAIPE_P_1115_5,2,0,2
VAIPE_P_1116_0,4,4,0
VAIPE_P_1116_1,4,4,0
VAIPE_P_1116_2,4,4,0
VAIPE_P_1116_3,4,4,0
VAIPE_P_1116_4,4,4,0
VAIPE_P_1116_5,4,4,0
VAIPE_P_1116_6,4,4,0
VAIPE_P_1116_7,4,4,0
VAIPE_P_1117_0,3,2,1
VAIPE_P_1118_0,3,2,1
VAIPE_P_1119_0,7,7,0
VAIPE_P_1119_1,7,7,0
VAIPE_P_1119_2,7,7,0
VAIPE_P_1119_3,7,7,0
VAIPE_P_111_1,3,3,0
VAIPE_P_1120_0,5,3,2
VAIPE_P_1120_1,5,3,2
VAIPE_P_1120_2,5,3,2
VAIPE_P_1120_3,5,3,2
VAIPE_P_1121_0,8,1,7
VAIPE_P_1121_1,8,1,7
VAIPE_P_1122_0,8,1,7
VAIPE_P_1122_1,8,1,7
VAIPE_P_1122_2,8,1,7
VAIPE_P_1123_0,3,1,2
VAIPE_P_1123_1,3,1,2
VAIPE_P_1123_2,3,1,2
VAIPE_P_1123_3,3,1,2
VAIPE_P_1125_0,5,5,0
VAIPE_P_1125_1,4,4,0
VAIPE_P_1126_0,5,5,0
VAIPE_P_1126_1,4,4,0
VAIPE_P_1127_0,3,2,1
VAIPE_P_1127_1,3,2,1
VAIPE_P_1127_2,3,2,1
VAIPE_P_1127_3,3,2,1
VAIPE_P_1128_0,2,0,2
VAIPE_P_1129_0,2,0,2
VAIPE_P_1129_1,2,0,2
VAIPE_P_112_0,3,3,0
VAIPE_P_112_1,3,3,0
VAIPE_P_112_2,4,4,0
VAIPE_P_112_3,4,4,0
VAIPE_P_112_4,3,3,0
VAIPE_P_1130_0,6,2,4
VAIPE_P_1130_1,6,2,4
VAIPE_P_1130_2,6,2,4
VAIPE_P_1130_3,6,2,4
VAIPE_P_1131_0,4,4,0
VAIPE_P_1132_0,4,4,0
VAIPE_P_1133_0,5,1,4
VAIPE_P_1133_1,5,1,4
VAIPE_P_1133_2,5,1,4
VAIPE_P_1133_3,5,1,4
VAIPE_P_1134_0,6,4,2
VAIPE_P_1134_1,6,4,2
VAIPE_P_1134_2,6,4,2
VAIPE_P_1134_3,6,4,2
VAIPE_P_1135_0,5,3,2
VAIPE_P_1135_1,5,3,2
VAIPE_P_1136_0,5,3,2
VAIPE_P_1136_1,5,3,2
VAIPE_P_1137_0,4,4,0
VAIPE_P_1137_1,4,4,0
VAIPE_P_1138_0,2,2,0
VAIPE_P_1139_0,3,3,0
VAIPE_P_113_0,3,3,0
VAIPE_P_113_1,3,3,0
VAIPE_P_113_2,3,3,0
VAIPE_P_113_3,3,3,0
VAIPE_P_113_4,3,3,0
VAIPE_P_113_5,3,3,0
VAIPE_P_113_6,3,3,0
VAIPE_P_113_7,3,3,0
VAIPE_P_1140_0,3,3,0
VAIPE_P_1141_0,3,3,0
VAIPE_P_1141_1,3,3,0
VAIPE_P_1142_0,4,3,1
VAIPE_P_1142_1,4,3,1
VAIPE_P_1143_0,6,0,6
VAIPE_P_1143_1,3,0,3
VAIPE_P_1144_0,3,1,2
VAIPE_P_1144_1,3,1,2
VAIPE_P_1144_2,3,1,2
VAIPE_P_1145_0,3,2,1
VAIPE_P_1145_1,3,2,1
VAIPE_P_1145_2,3,2,1
VAIPE_P_1145_3,3,2,1
VAIPE_P_1146_0,3,0,3
VAIPE_P_1147_0,3,0,3
VAIPE_P_1147_1,3,0,3
VAIPE_P_1148_0,8,6,2
VAIPE_P_1148_1,8,6,2
VAIPE_P_1148_2,8,6,2
VAIPE_P_1148_3,8,6,2
VAIPE_P_1149_0,3,2,1
VAIPE_P_1149_1,3,2,1
VAIPE_P_114_0,2,2,0
VAIPE_P_114_10,3,3,0
VAIPE_P_114_12,3,3,0
VAIPE_P_114_13,2,2,0
VAIPE_P_114_2,3,3,0
VAIPE_P_114_3,2,2,0
VAIPE_P_114_4,3,3,0
VAIPE_P_114_5,2,2,0
VAIPE_P_114_7,3,3,0
VAIPE_P_114_8,2,2,0
VAIPE_P_1150_0,3,2,1
VAIPE_P_1150_1,3,2,1
VAIPE_P_1151_0,2,2,0
VAIPE_P_1152_0,5,5,0
VAIPE_P_1152_1,5,5,0
VAIPE_P_1152_2,5,5,0
VAIPE_P_1152_3,5,5,0
VAIPE_P_1153_0,3,3,0
VAIPE_P_1153_1,3,3,0
VAIPE_P_1154_0,7,1,6
VAIPE_P_1154_1,7,1,6
VAIPE_P_1154_2,5,1,4
VAIPE_P_1154_3,5,1,4
VAIPE_P_1155_0,3,2,1
VAIPE_P_1155_1,3,2,1
VAIPE_P_1155_2,3,2,1
VAIPE_P_1155_3,3,2,1
VAIPE_P_1156_0,4,0,4
VAIPE_P_1157_0,4,2,2
VAIPE_P_1157_1,4,2,2
VAIPE_P_1158_0,4,4,0
VAIPE_P_1158_1,5,5,0
VAIPE_P_1158_10,5,5,0
VAIPE_P_1158_11,5,5,0
VAIPE_P_1158_12,5,5,0
VAIPE_P_1158_13,4,4,0
VAIPE_P_1158_14,4,4,0
VAIPE_P_1158_15,5,5,0
VAIPE_P_1158_2,5,5,0
VAIPE_P_1158_3,5,5,0
VAIPE_P_1158_4,5,5,0
VAIPE_P_1158_5,4,4,0
VAIPE_P_1158_6,4,4,0
VAIPE_P_1158_7,4,4,0
VAIPE_P_1158_8,4,4,0
VAIPE_P_1158_9,4,4,0
VAIPE_P_1159_0,3,1,2
VAIPE_P_1159_1,3,1,2
VAIPE_P_1159_11,3,1,2
VAIPE_P_1159_13,2,0,2
VAIPE_P_1159_14,2,0,2
VAIPE_P_1159_16,2,0,2
VAIPE_P_1159_17,3,1,2
VAIPE_P_1159_2,2,0,2
VAIPE_P_1159_20,2,0,2
VAIPE_P_1159_21,2,0,2
VAIPE_P_1159_23,2,0,2
VAIPE_P_1159_24,2,0,2
VAIPE_P_1159_25,3,1,2
VAIPE_P_1159_26,3,1,2
VAIPE_P_1159_27,3,1,2
VAIPE_P_1159_28,2,0,2
VAIPE_P_1159_29,2,0,2
VAIPE_P_1159_4,2,0,2
VAIPE_P_1159_8,2,0,2
VAIPE_P_1159_9,2,0,2
VAIPE_P_115_1,2,2,0
VAIPE_P_115_10,2,2,0
VAIPE_P_115_3,3,3,0
VAIPE_P_115_5,3,3,0
VAIPE_P_115_6,3,3,0
VAIPE_P_115_7,2,2,0
VAIPE_P_1160_0,5,3,2
VAIPE_P_1160_1,5,3,2
VAIPE_P_1160_2,5,3,2
VAIPE_P_1160_3,5,3,2
VAIPE_P_1160_4,5,3,2
VAIPE_P_1160_5,5,3,2
VAIPE_P_1160_6,5,3,2
VAIPE_P_1160_7,5,3,2
VAIPE_P_1161_0,4,1,3
VAIPE_P_1161_1,4,1,3
VAIPE_P_1162_0,6,6,0
VAIPE_P_1162_1,6,6,0
VAIPE_P_1162_2,6,6,0
VAIPE_P_1162_3,6,6,0
VAIPE_P_1162_4,6,6,0
VAIPE_P_1162_5,6,6,0
VAIPE_P_1162_6,6,6,0
VAIPE_P_1162_7,6,6,0
VAIPE_P_1164_0,3,3,0
VAIPE_P_1164_1,3,3,0
VAIPE_P_1164_2,3,3,0
VAIPE_P_1164_3,3,3,0
VAIPE_P_1164_4,3,3,0
VAIPE_P_1164_5,3,3,0
VAIPE_P_1164_6,3,3,0
VAIPE_P_1164_7,3,3,0
VAIPE_P_1165_0,5,3,2
VAIPE_P_1165_1,5,3,2
VAIPE_P_1165_10,5,3,2
VAIPE_P_1165_11,5,3,2
VAIPE_P_1165_12,5,3,2
VAIPE_P_1165_13,5,3,2
VAIPE_P_1165_14,5,3,2
VAIPE_P_1165_15,5,3,2
VAIPE_P_1165_16,5,3,2
VAIPE_P_1165_17,5,3,2
VAIPE_P_1165_18,5,3,2
VAIPE_P_1165_19,5,3,2
VAIPE_P_1165_2,5,3,2
VAIPE_P_1165_20,5,3,2
VAIPE_P_1165_21,5,3,2
VAIPE_P_1165_22,5,3,2
VAIPE_P_1165_3,5,3,2
VAIPE_P_1165_4,5,3,2
VAIPE_P_1165_5,5,3,2
VAIPE_P_1165_6,5,3,2
VAIPE_P_1165_7,5,3,2
VAIPE_P_1165_8,5,3,2
VAIPE_P_1165_9,5,3,2
VAIPE_P_1166_0,4,4,0
VAIPE_P_1166_1,6,6,0
VAIPE_P_1167_0,6,1,5
VAIPE_P_1167_1,6,1,5
